# Title : Scores for 2OOB
# Experiment_size : 9993
Pose	Surface size	Residue freq sum	Residue mean freq	Residue log sum	Residue square sum	Number of contacts	Contact freq sum	Contact mean freq	Contact log sum	Contact square sum
0	27	7.706521739130436	0.28542673107890504	-35.6867270157933	2.4568761814744797	37	0.8618856332703216	0.02329420630460329	-148.10515788393295	0.03290444116033747
1	31	11.369565217391306	0.3667601683029454	-32.43286203202489	4.528355387523629	49	2.570770321361058	0.05246470043593996	-160.06497785206494	0.20617822654203635
2	32	10.010869565217392	0.3128396739130435	-40.974323019148535	3.7621691871455574	46	1.3088374291115314	0.02845298758938112	-178.4948456933439	0.07330331666017488
3	28	10.33695652173913	0.3691770186335404	-29.16925649094057	4.1593809073724	47	3.1358695652173902	0.06672062904717851	-135.4835910715073	0.26798730685460664
4	23	8.304347826086955	0.36105860113421545	-24.55670468435498	3.265831758034026	34	1.3082466918714557	0.03847784387857223	-121.06938379127492	0.08608115021119134
5	30	8.293478260869566	0.2764492753623189	-40.66384067156338	2.567225897920605	43	0.8629489603024579	0.020068580472150186	-174.70250966420667	0.023224181320821474
6	24	8.347826086956523	0.3478260869565218	-27.737059386077142	3.377126654064272	26	1.4484877126654063	0.055711065871746394	-82.31841853082958	0.11553056021097693
7	28	7.804347826086956	0.27872670807453415	-37.50690825101672	2.497400756143668	36	1.3520793950850662	0.03755776097458517	-122.90553499258723	0.06600896803899357
8	28	7.880434782608696	0.281444099378882	-38.32034159745117	2.6222826086956528	38	1.287098298676749	0.03387100785991445	-132.33949257314322	0.051815891658120145
9	29	6.978260869565218	0.2406296851574213	-43.79497139097176	1.9300567107750473	45	1.0705340264650287	0.023789645032556192	-174.5276309625778	0.032152144543687304
10	26	8.206521739130437	0.3156354515050168	-32.553777329218065	3.0634451795841207	35	1.015004725897921	0.029000135025654884	-129.09181533769927	0.03958245206653063
11	26	9.304347826086959	0.35785953177257535	-28.07096675231286	3.6788752362948958	33	2.0582466918714557	0.062371111874892596	-95.85586599478141	0.16317492846384202
12	26	6.923913043478262	0.266304347826087	-38.7522410759248	2.285326086956522	36	0.9607750472589794	0.026688195757193875	-135.84132756309097	0.03543446323090613
13	24	7.456521739130434	0.3106884057971014	-30.25877042310509	2.727315689981096	34	1.4822778827977316	0.04359640831758034	-110.25767908953092	0.07950857026847388
14	30	9.945652173913043	0.33152173913043476	-35.914279781163444	3.8573960302457464	42	1.2767013232514182	0.030397650553605195	-152.23212427485305	0.04909598776626728
15	26	8.369565217391305	0.3219063545150502	-33.0625029180706	3.2764650283553878	34	1.319234404536862	0.038801011898143	-120.05017188967757	0.0824237301271079
16	20	7.478260869565219	0.37391304347826093	-21.188493380821424	3.15430056710775	26	1.05741965973535	0.040669986912898075	-87.54936066394919	0.05825989691467655
17	23	7.445652173913044	0.3237240075614367	-29.83423636099881	3.0395793950850662	33	0.8625945179584122	0.026139227816921583	-124.71249794743026	0.02891319590856951
18	28	7.880434782608697	0.28144409937888204	-37.86931386966444	2.5934546313799625	40	1.0047258979206053	0.025118147448015132	-155.43669981599507	0.03993439578189045
19	25	8.663043478260873	0.34652173913043494	-28.564316295310576	3.384097353497164	33	1.688681474480151	0.05117216589333791	-106.8234319745429	0.12835225237277598
20	28	7.3804347826086945	0.2635869565217391	-40.50620084576548	2.3956758034026464	34	1.2431474480151232	0.03656316023573892	-116.76797269828056	0.059130703908648115
21	21	6.010869565217392	0.286231884057971	-30.62551031388623	2.3384924385633266	23	1.2418478260869565	0.053993383742911155	-72.10144229396118	0.08630446340511216
22	35	9.92391304347826	0.28354037267080745	-47.49182531040524	3.3264413988657844	51	1.299503780718337	0.025480466288594843	-193.09860239752288	0.03988574929602881
23	21	7.782608695652175	0.370600414078675	-22.39589506319928	3.2424385633270325	26	1.4161153119092624	0.05446597353497163	-80.39892450424668	0.10359512745630554
24	31	9.847826086956523	0.31767180925666205	-39.64364161356072	3.789933837429111	38	1.3197069943289224	0.03472913142970848	-134.3274370379067	0.06210242490378466
25	25	5.967391304347826	0.23869565217391306	-39.83505007566781	1.851961247637051	32	0.7103024574669189	0.022196951795841215	-125.86641639464361	0.019425428189579083
26	23	8.98913043478261	0.3908317580340265	-22.542040882749617	3.788397920604914	30	2.047022684310019	0.06823408947700063	-83.71211207504771	0.17250596655779532
27	29	8.260869565217394	0.2848575712143929	-42.434027997777484	3.1495746691871456	41	1.037452741020794	0.025303725390751076	-161.60911527801852	0.04833058381813245
28	24	8.554347826086959	0.35643115942028997	-26.154338861981753	3.3989839319470696	32	1.8407372400756146	0.057523038752362955	-97.52421937616143	0.14752808291136751
29	23	7.217391304347828	0.3137996219281664	-28.750303804435887	2.6850189035916823	30	1.2426748582230627	0.04142249527410209	-100.51179141242568	0.07236316225106398
30	29	9.380434782608697	0.3234632683658171	-34.89251562607457	3.5057892249527405	39	1.265477315689981	0.0324481362997431	-140.9765429307434	0.05653666669197867
31	22	6.608695652173913	0.30039525691699603	-28.15361025224353	2.294423440453686	27	1.0466682419659736	0.03876549044318421	-93.4538200864364	0.059556964378879425
32	24	8.217391304347828	0.34239130434782616	-27.611559293404923	3.251890359168242	34	1.4279300567107749	0.04199794284443455	-113.84433511084148	0.08055905518669529
33	24	6.239130434782609	0.2599637681159421	-34.42140465531795	1.857514177693762	34	0.808364839319471	0.023775436450572677	-130.87603178120153	0.023111142800733276
34	19	5.9021739130434785	0.31064073226544625	-24.501323803011314	2.307774102079395	24	0.8832703213610588	0.03680293005671078	-82.56632386849584	0.042623311094514386
35	22	7.543478260869565	0.34288537549407117	-26.14285535534919	3.0815217391304346	30	1.1339792060491496	0.03779930686830499	-105.19871815348822	0.05910496384554088
36	23	5.565217391304349	0.24196597353497168	-34.88910921926498	1.6658790170132325	29	0.7099480151228734	0.024480966038719774	-112.0087948255655	0.023442399545634846
37	19	5.869565217391305	0.30892448512585813	-24.471154354665508	2.2088846880907376	26	0.8400283553875239	0.03230878289952015	-91.8644393943251	0.03197979499966051
38	21	8.07608695652174	0.3845755693581781	-20.83800633283757	3.3441635160680527	23	1.6548913043478262	0.07195179584120984	-64.52175601401115	0.15847200676008877
39	22	6.499999999999999	0.2954545454545454	-27.94162270915829	2.09617202268431	33	1.210420604914934	0.036679412270149515	-112.59749754902096	0.053333759728738814
40	26	9.22826086956522	0.3549331103678931	-28.34722012894101	3.636696597353497	40	2.396030245746692	0.0599007561436673	-123.09101610804326	0.20519699132721794
41	25	9.043478260869566	0.3617391304347827	-26.808883046969004	3.6306710775047253	30	1.6991965973534973	0.056639886578449906	-92.1292358192471	0.12941810595123657
42	19	7.66304347826087	0.40331807780320367	-17.902023783184404	3.3018667296786384	25	2.2312145557655954	0.08924858223062382	-61.61692147839457	0.21780003254079988
43	24	8.228260869565217	0.3428442028985507	-27.27188728405897	3.1007797731568996	36	1.8629489603024572	0.05174858223062381	-113.09294458318465	0.13406446651848727
44	26	4.782608695652174	0.18394648829431437	-52.07222821724778	1.428875236294896	37	0.6674149338374294	0.018038241455065662	-152.1045893936533	0.014453031475909537
45	23	7.945652173913044	0.3454631379962193	-25.82496366039732	3.061554820415879	33	1.3299858223062377	0.0403026006759466	-111.71118755903393	0.0707296872375742
46	19	7.608695652173915	0.40045766590389026	-18.277350277144887	3.306001890359168	30	1.8187618147448013	0.06062539382482671	-90.71508848685697	0.1501221620044954
47	21	7.608695652173914	0.3623188405797102	-23.20537179078763	3.137523629489603	23	1.3505434782608694	0.05871928166351606	-71.72189831004461	0.12508251058190187
48	19	4.58695652173913	0.24141876430205947	-30.06712676386115	1.4697542533081285	25	0.5573015122873347	0.02229206049149339	-98.54952596446583	0.016081244014458217
49	22	8.31521739130435	0.37796442687747045	-22.631217216633978	3.472235349716446	32	2.05812854442344	0.0643165170132325	-95.83706072335522	0.1839688653556841
50	19	5.326086956521739	0.2803203661327231	-25.764040500313513	1.687618147448015	21	0.6220463137996223	0.02962125303807725	-76.99458791897145	0.024603214972966792
51	30	10.065217391304348	0.33550724637681156	-34.955453360056836	3.8624763705103966	38	1.7218809073724004	0.04531265545716843	-122.96016529408776	0.10083167204769851
52	23	7.228260869565219	0.3142722117202269	-27.36563872005378	2.414343100189036	28	0.9272211720226848	0.03311504185795303	-101.72976950281924	0.0440514099971055
